huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,msu/pearl,c,1987-09-16t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,10:25:00
,,phytp,msu/pearl,c,1987-09-16t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:25:00
,,phytp,msu/pearl,c,1987-10-07t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.5,10:50:00
,,phytp,msu/pearl,c,1987-10-07t00:00:00,bp,39.54794,-76.08481,7,tf,15,liter,cb1.1,7.5,10:50:00
,,phytp,msu/pearl,c,1987-11-18t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.2,12:10:00
,,phytp,msu/pearl,c,1987-11-18t00:00:00,bp,39.54794,-76.08481,4.7,tf,15,liter,cb1.1,5.2,12:10:00
,,phytp,msu/pearl,c,1987-12-16t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,11:30:00
,,phytp,msu/pearl,c,1987-12-16t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:30:00
,,phytp,msu/pearl,c,1988-03-18t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1988-03-18t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:00:00
,,phytp,msu/pearl,c,1988-04-13t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.5,10:50:00
,,phytp,msu/pearl,c,1988-04-13t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,10:50:00
,,phytp,msu/pearl,c,1988-04-27t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.6,10:10:00
,,phytp,msu/pearl,c,1988-04-27t00:00:00,bp,39.54794,-76.08481,6.1,tf,15,liter,cb1.1,6.6,10:10:00
,,phytp,msu/pearl,c,1988-05-11t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6.5,11:55:00
,,phytp,msu/pearl,c,1988-05-11t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:55:00
,,phytp,msu/pearl,c,1988-05-25t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6.4,11:40:00
,,phytp,msu/pearl,c,1988-05-25t00:00:00,bp,39.54794,-76.08481,5.9,tf,15,liter,cb1.1,6.4,11:40:00
,,phytp,msu/pearl,c,1988-06-08t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6.2,11:15:00
,,phytp,msu/pearl,c,1988-06-08t00:00:00,bp,39.54794,-76.08481,5.7,tf,15,liter,cb1.1,6.2,11:15:00
,,phytp,msu/pearl,c,1988-06-22t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.8,11:40:00
,,phytp,msu/pearl,c,1988-06-22t00:00:00,bp,39.54794,-76.08481,5.3,tf,15,liter,cb1.1,5.8,11:40:00
,,phytp,msu/pearl,c,1988-07-07t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.5,11:20:00
,,phytp,msu/pearl,c,1988-07-07t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:20:00
,,phytp,msu/pearl,c,1988-07-20t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,10:05:00
,,phytp,msu/pearl,c,1988-07-20t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:05:00
,,phytp,msu/pearl,c,1988-08-10t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6.5,11:00:00
,,phytp,msu/pearl,c,1988-08-10t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:00:00
,,phytp,msu/pearl,c,1988-08-24t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,10:30:00
,,phytp,msu/pearl,c,1988-08-24t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:30:00
,,phytp,msu/pearl,c,1988-09-08t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,10:50:00
,,phytp,msu/pearl,c,1988-09-08t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:50:00
,,phytp,msu/pearl,c,1988-09-20t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,6,09:30:00
,,phytp,msu/pearl,c,1988-09-20t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,09:30:00
,,phytp,msu/pearl,c,1988-10-05t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6.5,10:45:00
,,phytp,msu/pearl,c,1988-10-05t00:00:00,bp,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,10:45:00
,,phytp,msu/pearl,c,1988-11-21t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5.5,17:00:00
,,phytp,msu/pearl,c,1988-11-21t00:00:00,bp,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,17:00:00
,,phytp,msu/pearl,c,1988-12-07t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1988-12-07t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:10:00
,,phytp,msu/pearl,c,1989-01-19t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,11:15:00
,,phytp,msu/pearl,c,1989-01-19t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:15:00
,,phytp,msu/pearl,c,1989-03-22t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,11:15:00
,,phytp,msu/pearl,c,1989-03-22t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:15:00
,,phytp,msu/pearl,c,1989-04-05t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,11:35:00
,,phytp,msu/pearl,c,1989-04-05t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:35:00
,,phytp,msu/pearl,c,1989-04-19t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,6,11:25:00
,,phytp,msu/pearl,c,1989-04-19t00:00:00,bp,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:25:00
,,phytp,msu/pearl,c,1989-05-03t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7.5,10:25:00
,,phytp,msu/pearl,c,1989-05-03t00:00:00,bp,39.54794,-76.08481,7,tf,15,liter,cb1.1,7.5,10:25:00
,,phytp,msu/pearl,c,1989-05-17t00:00:00,ap,39.54794,-76.08481,3,tf,15,liter,cb1.1,7,10:38:00
,,phytp,msu/pearl,c,1989-05-17t00:00:00,bp,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:38:00
,,phytp,msu/pearl,c,1989-06-14t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5,11:18:00
,,phytp,msu/pearl,c,1989-06-14t00:00:00,bp,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:18:00
,,phytp,msu/pearl,c,1989-06-28t00:00:00,ap,39.54794,-76.08481,2,tf,15,liter,cb1.1,5,11:56:00
,,phytp,msu/pearl,c,1989-06-28t00:00:00,bp,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:56:00
,,phytp,msu/pearl,c,1989-07-12t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,12:00:00
,,phytp,msu/pearl,c,1989-07-26t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:00:00
,,phytp,msu/pearl,c,1989-08-16t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:05:00
,,phytp,msu/pearl,c,1989-08-30t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,10:10:00
,,phytp,msu/pearl,c,1989-09-13t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,10:27:00
,,phytp,msu/pearl,c,1989-09-27t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:42:00
,,phytp,msu/pearl,c,1989-10-11t00:00:00,wc,39.54794,-76.08481,5.9,tf,15,liter,cb1.1,6.4,10:45:00
,,phytp,msu/pearl,c,1989-11-14t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,13:50:00
,,phytp,msu/pearl,c,1989-12-13t00:00:00,wc,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,11:28:00
,,phytp,msu/pearl,c,1990-01-10t00:00:00,wc,39.54794,-76.08481,6.2,tf,15,liter,cb1.1,6.7,10:55:00
,,phytp,msu/pearl,c,1990-02-07t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,14:13:00
,,phytp,msu/pearl,c,1990-03-07t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:35:00
,,phytp,msu/pearl,c,1990-04-04t00:00:00,wc,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:00:00
,,phytp,msu/pearl,c,1990-04-18t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,10:19:00
,,phytp,msu/pearl,c,1990-05-16t00:00:00,wc,39.54794,-76.08481,6,tf,15,liter,cb1.1,6.5,11:50:00
,,phytp,msu/pearl,c,1990-05-31t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:04:00
,,phytp,msu/pearl,c,1990-06-13t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:53:00
,,phytp,msu/pearl,c,1990-06-27t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:10:00
,,phytp,msu/pearl,c,1990-07-18t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:50:00
,,phytp,msu/pearl,c,1990-08-01t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:45:00
,,phytp,msu/pearl,c,1990-08-15t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:40:00
,,phytp,msu/pearl,c,1990-08-29t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:15:00
,,phytp,msu/pearl,c,1990-09-12t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:25:00
,,phytp,msu/pearl,c,1990-09-26t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:01:00
,,phytp,msu/pearl,c,1990-10-17t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:45:00
,,phytp,msu/pearl,c,1990-11-13t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:14:00
,,phytp,msu/pearl,c,1990-12-12t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:00:00
,,phytp,msu/pearl,c,1991-01-09t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:03:00
,,phytp,msu/pearl,c,1991-02-13t00:00:00,wc,39.54794,-76.08481,6.5,tf,15,liter,cb1.1,7,10:15:00
,,phytp,msu/pearl,c,1991-03-14t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:31:00
,,phytp,msu/pearl,c,1991-04-10t00:00:00,wc,39.54794,-76.08481,5,tf,15,liter,cb1.1,5.5,11:03:00
,,phytp,msu/pearl,c,1991-04-24t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:25:00
,,phytp,msu/pearl,c,1991-05-08t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,11:32:00
,,phytp,msu/pearl,c,1991-05-22t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:52:00
,,phytp,msu/pearl,c,1991-06-06t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,13:57:00
,,phytp,msu/pearl,c,1991-06-19t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:00:00
,,phytp,msu/pearl,c,1991-07-10t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,11:15:00
,,phytp,msu/pearl,c,1991-07-24t00:00:00,wc,39.54794,-76.08481,4.5,tf,15,liter,cb1.1,5,10:05:00
,,phytp,msu/pearl,c,1991-08-07t00:00:00,wc,39.54794,-76.08481,5.5,tf,15,liter,cb1.1,6,10:30:00
