surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
433431,433431,odu/pel,c,cb7.4,2013-06-05T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,103030900,l,auto_pico,1148,20131015cb7.4
433437,433437,odu/pel,c,le3.6,2013-06-05T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,43012900,l,auto_pico,1148,20131015le3.6
433437,433437,odu/pel,c,le3.6,2013-06-05T00:00:00Z,bp,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,38011400,l,auto_pico,1148,20131015le3.6
433439,433439,odu/pel,c,ret5.2,2013-06-06T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,60018000,l,auto_pico,1148,20131015ret5.2
433441,433441,odu/pel,c,tf5.5,2013-06-06T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,72021600,l,auto_pico,1148,20131015tf5.5
433443,433443,odu/pel,c,ret3.1,2013-06-11T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,85025500,l,auto_pico,1148,20131015ret3.1
433445,433445,odu/pel,c,tf3.3,2013-06-11T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,89026700,l,auto_pico,1148,20131015tf3.3
433447,433447,odu/pel,c,sbe5,2013-06-12T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,49014700,l,auto_pico,1148,20131015sbe5
433451,433451,odu/pel,c,ret4.3,2013-06-18T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,120036000,l,auto_pico,1148,20131015ret4.3
433449,433449,odu/pel,c,tf4.2,2013-06-18T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,45013500,l,auto_pico,1148,20131015tf4.2
433453,433453,odu/pel,c,ret3.1,2013-07-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,222066600,l,auto_pico,1148,20131231ret3.1
433455,433455,odu/pel,c,tf3.3,2013-07-09T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,65019500,l,auto_pico,1148,20131231tf3.3
433457,433457,odu/pel,c,sbe5,2013-07-10T00:00:00Z,ap,fs1,7,0,epifluorescent_picoplankton,not_applicable,pp101,count,152545750,l,auto_pico,1148,20131231sbe5
