tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
2844,chaetoceros_simplex,,7,diatom,270.4
2845,chaetoceros_simplex_calcitrans,,7,diatom,270
2827,chaetoceros_socialis_lauder,,7,diatom,63.66
2829,chaetoceros_subtilis,,7,diatom,60.21
2830,chaetoceros_teres,,7,diatom,1728
2831,chaetoceros_tetrastichon,,7,diatom,65.2
2832,chaetoceros_tortissimus,,7,diatom,145.8
2835,chaetoceros_wighami,,7,diatom,109.5
9370,chaetosphaeridium_globosum,,8,chlorophyta,266
5760,characium_limneticum,,8,chlorophyta,12.34
bay0343,chattonella,,13,,480.18
bay0344,chattonella_subsalsa,,13,,480.18
bay0391,chattonella_verruculosa,,13,,475.04
10610,chilomonas,,14,cryptomonads,75.17
10612,chilomonas_marina,,14,cryptomonads,19.99
5448,chlamydomonas,,8,chlorophyta,7.26
5811,chlorella,,8,chlorophyta,22.37
5820,chlorella_ellipsoidea,,8,chlorophyta,25.02
5812,chlorella_marina,,8,chlorophyta,11.26
5819,chlorella_saccharophila_ellipsoidea,,8,chlorophyta,63.3
5814,chlorella_salina,,8,chlorophyta,16.6
5815,chlorella_vulgaris,,8,chlorophyta,37.16
5539,chlorogonium,,8,chlorophyta,6.1
5415,chlorophyceae,filament_(cell),8,chlorophyta,20.81
5415,chlorophyceae,filaments,8,chlorophyta,27.3
5415,chlorophyceae,microphytoflagellates,8,chlorophyta,101.75
5415,chlorophyceae,sphere,8,chlorophyta,7.26
5415,chlorophyceae,unidentified,8,chlorophyta,22.5
5414,chlorophyta,,8,chlorophyta,22.5
43811,choanoflagellida,,34,protozoa,11.19
5866,chodatella,,8,chlorophyta,22.17
5870,chodatella_longiseta,,8,chlorophyta,22.17
1721,chromulina_parvula,,4,chrysophyta,3.4
654,chroococcus,,3,cyanobacteria,20.81
665,chroococcus_dispersus,,3,cyanobacteria,3.44
667,chroococcus_dispersus_minor,,3,cyanobacteria,1.2
656,chroococcus_limneticus,,3,cyanobacteria,20.81
660,chroococcus_limneticus_elegans,,3,cyanobacteria,361.29
674,chroococcus_prescottii,,3,cyanobacteria,24.9
655,chroococcus_turgidus,,3,cyanobacteria,475
10613,chroomonas,,14,cryptomonads,15.89
10620,chroomonas_amphioxeia,,14,cryptomonads,60.16
10614,chroomonas_salina,,14,cryptomonads,36.71
10615,chroomonas_vectensis,,14,cryptomonads,7.93
1827,chrysamoeba_radians,,4,chrysophyta,23.91
1860,chrysocapsa,,4,chrysophyta,51.44
2160,chrysochromulina,,6,haptophyta,100.51
2161,chrysochromulina_minor,,6,haptophyta,11.34
1762,chrysococcus_minutus,,4,chrysophyta,37.2
1753,chrysococcus_rufescens,,4,chrysophyta,20.81
bay0071,chrysococcus_tesselatus,,4,chrysophyta,188.1
1448,chrysophyceae,,4,chrysophyta,78.46
1448,chrysophyceae,microphytoflagellates,4,chrysophyta,78.46
1448,chrysophyceae,unidentified,4,chrysophyta,78.46
6763,cladophora,,8,chlorophyta,38015.9
10482,cladopyxis,,12,dinoflagellates,126
183951,cladopyxis_brachiolata,,12,dinoflagellates,3470.6
10483,cladopyxis_caryophyllum,,12,dinoflagellates,6078.8
183952,cladopyxis_claytonii,,12,dinoflagellates,266
10487,cladopyxis_setifera,,12,dinoflagellates,335.79
2734,climacodium,,7,diatom,2301.1
2736,climacodium_biconcavum,,7,diatom,214.6
2735,climacodium_frauenfeldianum,,7,diatom,643.7
5926,closteriopsis,,8,chlorophyta,329.85
5927,closteriopsis_longissima,,8,chlorophyta,706.72
7257,closterium,,8,chlorophyta,2359.82
7294,closterium_archerianum,,8,chlorophyta,5573.8
7318,closterium_dianae,,8,chlorophyta,4957.1
7352,closterium_lineatum,,8,chlorophyta,5502.35
7365,closterium_parvulum,,8,chlorophyta,3158.951
7378,closterium_pronum,,8,chlorophyta,647.39
7266,closterium_setaceum,,8,chlorophyta,22.18
678,coccochloris,,3,cyanobacteria,1.2
43790,coccolithophorida,,34,protozoa,127.88
43790,coccolithophorida,unidentified,34,protozoa,127.88
2249,coccolithus_pelagicus,,6,haptophyta,126
3577,cocconeis,,7,diatom,85.85
bay0073,cocconeis_clandestina,,7,diatom,761
3578,cocconeis_costata,,7,diatom,169
3592,cocconeis_distans,,7,diatom,742
3611,cocconeis_fluviatilis,,7,diatom,0
bay0074,cocconeis_molesta_crucifera,,7,diatom,345.5
3617,cocconeis_pediculus,,7,diatom,654.6
3593,cocconeis_pinnata,,7,diatom,630
3584,cocconeis_scutellum,,7,diatom,124.66
3585,cocconeis_scutellum_ornata,,7,diatom,960.5
10021,cochlodinium,,12,dinoflagellates,154.7
573358,cochlodinium_brandtii,,12,dinoflagellates,3184.95
bay0076,cochlodinium_constrictum,,12,dinoflagellates,7118.54
10023,cochlodinium_heterolobatum,,12,dinoflagellates,2163.99
6273,coelastrum,,8,chlorophyta,37.16
6275,coelastrum_cambricum,,8,chlorophyta,31.06
6279,coelastrum_microporum,,8,chlorophyta,3.44
6281,coelastrum_reticulatum,,8,chlorophyta,84.72
6282,coelastrum_sphaericum,,8,chlorophyta,14.35
791,coelosphaerium,,3,cyanobacteria,3.44
2386,corethron,,7,diatom,2167.52
2387,corethron_criophilum,,7,diatom,540.52
bay0078,corethron_valdivae,,7,diatom,1175.7
2546,coscinodiscus,,7,diatom,4205.86
2546,coscinodiscus,sp#1_diam_<40_microns,7,diatom,230.31
2546,coscinodiscus,sp#2_diam_40-100_microns,7,diatom,1913.5
2546,coscinodiscus,sp#3_diam_>100_microns,7,diatom,8262.1
2590,coscinodiscus_apiculiferus,,7,diatom,3567.16
2599,coscinodiscus_argus,,7,diatom,266.7
2551,coscinodiscus_asteromphalus,,7,diatom,3174
2552,coscinodiscus_centralis,,7,diatom,8975.67
2589,coscinodiscus_cinctus,,7,diatom,30635.54
2555,coscinodiscus_concinnus,,7,diatom,30635.54
2584,coscinodiscus_gigas,,7,diatom,41.1
2585,coscinodiscus_gigas_praetexta,,7,diatom,41.1
2557,coscinodiscus_granii,,7,diatom,3505.31
2586,coscinodiscus_granulosus,,7,diatom,17.9
2559,coscinodiscus_lineatus,,7,diatom,1438.2
2560,coscinodiscus_marginatus,,7,diatom,1787.84
2561,coscinodiscus_nitidus,,7,diatom,869.08
2576,coscinodiscus_nobilis,,7,diatom,4557.1
2587,coscinodiscus_obscurus,,7,diatom,328.4
2562,coscinodiscus_oculus-iridis,,7,diatom,4742.54
2563,coscinodiscus_perforatus,,7,diatom,1402.15
2567,coscinodiscus_radiatus,,7,diatom,2402.26
bay0079,coscinodiscus_rotula,,7,diatom,3567.16
2568,coscinodiscus_stellaris,,7,diatom,2402.26
2592,coscinodiscus_sub-bulliens,,7,diatom,1435
bay0080,coscinodiscus_sublineatus,,7,diatom,213
2571,coscinodiscus_wailesii,,7,diatom,12596.17
2540,coscinosira,,7,diatom,185.19
2541,coscinosira_polychorda,,7,diatom,552.76
7848,cosmarium,,8,chlorophyta,22.26
7858,cosmarium_alpestre,,8,chlorophyta,4989.9
7897,cosmarium_contractum,,8,chlorophyta,1694.72
7902,cosmarium_costatum,,8,chlorophyta,2347.6
bay0349,cosmarium_cynthia,,8,chlorophyta,2380.98
8012,cosmarium_ornatum,,8,chlorophyta,2746.8
8125,cosmarium_subreniforme,,8,chlorophyta,3101.5
8137,cosmarium_tenue,,8,chlorophyta,148.2646
8148,cosmarium_turpinii,,8,chlorophyta,13389
7164,cosmocladium,,8,chlorophyta,143
6225,crucigenia,,8,chlorophyta,7.72
6230,crucigenia_apiculata,,8,chlorophyta,12.02
6227,crucigenia_crucifera,,8,chlorophyta,7.72
6228,crucigenia_fenestrata,,8,chlorophyta,10.97
6239,crucigenia_irregularis,,8,chlorophyta,21.19
6234,crucigenia_lauterbornii,,8,chlorophyta,63.7
6235,crucigenia_quadrata,,8,chlorophyta,6.59
6236,crucigenia_retangularis,,8,chlorophyta,2.52
6226,crucigenia_tetrapedia,,8,chlorophyta,8.55
10635,cryptomonas,,14,cryptomonads,120.75
10635,cryptomonas,<10_microns,14,cryptomonads,11.78
10635,cryptomonas,sp#1_length_<10_microns,14,cryptomonads,11.78
10635,cryptomonas,sp#2_length_>10_microns,14,cryptomonads,75.73
10635,cryptomonas,species_#1,14,cryptomonads,120.75
10635,cryptomonas,species_#2,14,cryptomonads,120.75
10641,cryptomonas_erosa,,14,cryptomonads,318.39
10643,cryptomonas_erosa_reflexa,,14,cryptomonads,374.2238
