tsn,lbl,size,nodc_phyla,group,carbon_(picogram_c_per_cell)
573465,oxytoxum_mitra,,12,dinoflagellates,3705.39
573466,oxytoxum_obliquum,,12,dinoflagellates,2646
10469,oxytoxum_parvum,,12,dinoflagellates,912.48
10470,oxytoxum_reticulatum,,12,dinoflagellates,15290
10471,oxytoxum_sceptrum,,12,dinoflagellates,5489.3
10472,oxytoxum_scolopax,,12,dinoflagellates,9099.91
10476,oxytoxum_sphaeroideum,,12,dinoflagellates,921.18
10473,oxytoxum_tesselatum,,12,dinoflagellates,2302.4
10474,oxytoxum_turbo,,12,dinoflagellates,1766.38
10465,oxytoxum_variabile,,12,dinoflagellates,27.66
9175,palmodictyon,,8,chlorophyta,3.44
9176,palmodictyon_varium,,8,chlorophyta,136
5578,pandorina,,8,chlorophyta,66.56
5580,pandorina_morum,,8,chlorophyta,226.3
2346,paralia_sulcata,,7,diatom,132.87
10478,pavillardinium,,12,dinoflagellates,3084
bay0200,pavillardinium_biconica,,7,diatom,132.87
610152,pavillardinium_spinosa,,12,dinoflagellates,3084
1478,pavlova_hommersandii,,4,chrysophyta,26.1
1476,pavlova_salina,,4,chrysophyta,11.4
6031,pediastrum,,8,chlorophyta,103.61
6050,pediastrum_biradiatum,,8,chlorophyta,55.34
6032,pediastrum_boryanum,,8,chlorophyta,155.61
6033,pediastrum_boryanum_longicorne,,8,chlorophyta,468.6
6036,pediastrum_duplex,,8,chlorophyta,20.81
6037,pediastrum_duplex_clathratum,,8,chlorophyta,55.11
6041,pediastrum_duplex_gracillimum,,8,chlorophyta,4.63
6038,pediastrum_duplex_reticulatum,,8,chlorophyta,4.81
6043,pediastrum_duplex_rotundatum,,8,chlorophyta,53
6064,pediastrum_glanduliferum,,8,chlorophyta,46.02
6070,pediastrum_muticum,,8,chlorophyta,97.62
6065,pediastrum_obtusum,,8,chlorophyta,130.53
6045,pediastrum_simplex,,8,chlorophyta,67.04
6046,pediastrum_simplex_duodenarium,,8,chlorophyta,421.66
6053,pediastrum_tetras,,8,chlorophyta,3.91
6055,pediastrum_tetras_tetraodon,,8,chlorophyta,125.57
8499,penium,,8,chlorophyta,526.05
2930,pennales,<10_microns,7,diatom,23.74
2930,pennales,<10_microns_length,7,diatom,23.74
2930,pennales,<10-20_microns,7,diatom,51.7
2930,pennales,<20_microns,7,diatom,51.7
2930,pennales,<20_um_length,7,diatom,51.7
2930,pennales,>100_microns_length,7,diatom,409.85
2930,pennales,>20_microns,7,diatom,68.95
2930,pennales,>20_um_length,7,diatom,68.95
2930,pennales,>60_microns_diameter,7,diatom,233.55
2930,pennales,10-30_microns_diameter,7,diatom,98.37
2930,pennales,10-30um_length,7,diatom,98.37
2930,pennales,31-60_microns_diameter,7,diatom,93.76
2930,pennales,31-60um_length,7,diatom,93.76
2930,pennales,61-100um_length,7,diatom,233.55
10212,peridinium,,12,dinoflagellates,6578.32
10302,peridinium_aciculiferum,,12,dinoflagellates,2001.431
10329,peridinium_cinctum,,12,dinoflagellates,13846
10330,peridinium_gatunense,,12,dinoflagellates,0
10331,peridinium_inconspicuum,,12,dinoflagellates,1196.877
bay0359,peridinium_lomnickii_splendida,,12,dinoflagellates,3346.816
bay0360,peridinium_pseudolaeve,,12,dinoflagellates,8451.896
9766,phacus,,11,euglenophycota,5684.69
9766,phacus,<50um_l,11,euglenophycota,224.98
9766,phacus,>50um_l,11,euglenophycota,3639.81
9797,phacus_curvicauda,,11,euglenophycota,1308.71
bay0361,phacus_latus,,11,euglenophycota,3230
9789,phacus_lemmermannii,,11,euglenophycota,896.51
9771,phacus_longicauda,,11,euglenophycota,11470.24
180823,phacus_monilatus,,11,euglenophycota,2428.8
9793,phacus_orbicularis,,11,euglenophycota,7218.9
bay0362,phacus_perkinensis,,11,euglenophycota,3230
9780,phacus_suecicus,,11,euglenophycota,1002.6
9776,phacus_triqueter,,11,euglenophycota,4624.11
9929,phalacroma,,12,dinoflagellates,1492.2
992,phormidium,,3,cyanobacteria,0.97
4428,pinnularia,,7,diatom,233.26
4449,pinnularia_gibba,,7,diatom,425.4
4494,pinnularia_legumen,,7,diatom,1104.8
4498,pinnularia_major,,7,diatom,3346.1
4439,pinnularia_nobilis,,7,diatom,1745.3
4527,pinnularia_retangulata,,7,diatom,213.58
4446,pinnularia_trevelyana,,7,diatom,521.74
3194,plagiogramma,,7,diatom,55.15
202436,plagiogramma_interruptum,,7,diatom,123.62
3196,plagiogramma_staurophorum,,7,diatom,164.99
3195,plagiogramma_vanheurcki,,7,diatom,86.79
2483,planktoniella_sol,,7,diatom,819.18
5592,platydorina,,8,chlorophyta,19.06
5594,pleodorina,,8,chlorophyta,475
bay0363,pleurocapsa_minor,,3,cyanobacteria,20.81
4592,pleurosigma,,7,diatom,682.39
4620,pleurosigma_acutum,,7,diatom,2779.5
4605,pleurosigma_aestuarii,,7,diatom,619.92
4593,pleurosigma_angulatum,,7,diatom,1379.39
bay0209,pleurosigma_angulatum_strigosa,,7,diatom,4462.7
4612,pleurosigma_delicatulum,,7,diatom,1732.7
4611,pleurosigma_directum,,7,diatom,6509.9
4594,pleurosigma_elongatum,,7,diatom,1239.15
4598,pleurosigma_fasciola,,7,diatom,93.92
4599,pleurosigma_formosum,,7,diatom,9550.5
4600,pleurosigma_hamuliferum,,7,diatom,134.16
bay0210,pleurosigma_macrum,,7,diatom,494.84
4613,pleurosigma_naviculaceum,,7,diatom,431.85
4602,pleurosigma_nicobaricum,,7,diatom,12.9
4603,pleurosigma_normani,,7,diatom,3625.7
591037,pleurosigma_obscurum,,7,diatom,105
4614,pleurosigma_rigidum,,7,diatom,7020.3
555629,pleurosigma_salinarum,,7,diatom,937.9
4618,pleurosigma_strigosum,,7,diatom,4643.7
8712,pleurotaenium,,8,chlorophyta,5569.9
8749,pleurotaenium_nodolosum,,8,chlorophyta,10004.9
8738,pleurotaenium_subcoronulatum_dentum,,8,chlorophyta,0
8713,pleurotaenium_trabecula,,8,chlorophyta,26217.95
8739,pleurotaenium_tridentulum,,8,chlorophyta,1134.9
10498,podolampas,,12,dinoflagellates,1745.04
10499,podolampas_bipes,,12,dinoflagellates,1712.71
573497,podolampas_curvatus,,12,dinoflagellates,1230
10500,podolampas_elegans,,12,dinoflagellates,26.7
10501,podolampas_palmipes,,12,dinoflagellates,3653.9
10502,podolampas_spinifer,,12,dinoflagellates,2719.8
2384,podosira,,7,diatom,1445.45
2382,podosira_stelliger,,7,diatom,598.6
5931,polyedriopsis,,8,chlorophyta,185.4
5932,polyedriopsis_spinulosa,,8,chlorophyta,185.4
10138,polykrikos,,12,dinoflagellates,3324.5
331299,polykrikos_hartmannii,,12,dinoflagellates,4538.39
10140,polykrikos_kofoidi,,12,dinoflagellates,2035.49
2226,pontosphaera,,6,haptophyta,43.9
2228,pontosphaera_syracusana,,6,haptophyta,939.2
2537,porosira_glacialis,,7,diatom,1943.02
610099,proboscia_alata,,7,diatom,1385.36
bay0309,proboscia_alata_gracillima,,7,diatom,1015.97
610100,proboscia_inermis,,7,diatom,1577.5
bay0378,proboscla_alata_curvirostris,,7,diatom,1889.5
10143,pronoctiluca,,12,dinoflagellates,306.1
9877,prorocentrum,,12,dinoflagellates,364.46
9886,prorocentrum_aporum,,12,dinoflagellates,884.47
9888,prorocentrum_balticum,,12,dinoflagellates,24.15
9914,prorocentrum_cassubicum,,12,dinoflagellates,891
9890,prorocentrum_compressum,,12,dinoflagellates,350.15
9902,prorocentrum_cordatum,,12,dinoflagellates,300
9904,prorocentrum_dentatum,,12,dinoflagellates,858.3
9901,prorocentrum_gracile,,12,dinoflagellates,329.25
9893,prorocentrum_lima,,12,dinoflagellates,1202
9898,prorocentrum_maximum,,12,dinoflagellates,725.72
9879,prorocentrum_micans,,12,dinoflagellates,618.22
9880,prorocentrum_minimum,,12,dinoflagellates,35.18
9905,prorocentrum_nanum,,12,dinoflagellates,62.53
9899,prorocentrum_obtusum,,12,dinoflagellates,2696.2
9908,prorocentrum_ovum,,12,dinoflagellates,5.5
9910,prorocentrum_rostratum,,12,dinoflagellates,295.28
9912,prorocentrum_rotundatum,,12,dinoflagellates,425.45
9884,prorocentrum_scutellum,,12,dinoflagellates,3606
9881,prorocentrum_triestinum,,12,dinoflagellates,117.87
9896,prorocentrum_vaginulum,,12,dinoflagellates,264
10340,protoperidinium,,12,dinoflagellates,7122.1
10340,protoperidinium,sp.#1_10-30w_10-40l,12,dinoflagellates,467.7
10340,protoperidinium,sp.#2_31-75w_41-80l,12,dinoflagellates,3087.35
10340,protoperidinium,sp.#3_76-150w_81-150l,12,dinoflagellates,15169.93
573548,protoperidinium_abei,,12,dinoflagellates,18684.2
10242,protoperidinium_achromaticum,,12,dinoflagellates,1621.8
bay0220,protoperidinium_aciculiferum,,12,dinoflagellates,3587.9
10304,protoperidinium_avellana,,12,dinoflagellates,4714.8
bay0221,protoperidinium_biconicum,,12,dinoflagellates,10113.1
10255,protoperidinium_breve,,12,dinoflagellates,1753.42
10215,protoperidinium_brevipes,,12,dinoflagellates,745.14
10344,protoperidinium_brochii,,12,dinoflagellates,22165.2
10218,protoperidinium_cerasus,,12,dinoflagellates,2575.9
bay0222,protoperidinium_cinctum,,12,dinoflagellates,4130.2
10246,protoperidinium_claudicans,,12,dinoflagellates,10715
10248,protoperidinium_conicoides,,12,dinoflagellates,2182.51
10220,protoperidinium_conicum,,12,dinoflagellates,11880.42
10306,protoperidinium_crassipes,,12,dinoflagellates,19364.69
10291,protoperidinium_decipiens,,12,dinoflagellates,14624.87
10224,protoperidinium_depressum,,12,dinoflagellates,29720.22
10308,protoperidinium_diabolum,,12,dinoflagellates,3537.57
550482,protoperidinium_divergens,,12,dinoflagellates,5262.42
10226,protoperidinium_excentricum,,12,dinoflagellates,4574
bay0224,protoperidinium_fimbriatum,,12,dinoflagellates,1362.1
10293,protoperidinium_globulum,,12,dinoflagellates,9951.5
bay0225,protoperidinium_globulum_ovatum,,12,dinoflagellates,13085.6
550484,protoperidinium_grande,,12,dinoflagellates,36203.2
10228,protoperidinium_granii,,12,dinoflagellates,3911.92
10295,protoperidinium_hirobis,,12,dinoflagellates,906.66
10282,protoperidinium_leonis,,12,dinoflagellates,9034.74
10310,protoperidinium_minutum,,12,dinoflagellates,2783.63
10312,protoperidinium_mite,,12,dinoflagellates,3432.4
10314,protoperidinium_nipponicum,,12,dinoflagellates,3230.9
bay0228,protoperidinium_nudum,,12,dinoflagellates,848.2
10277,protoperidinium_oblongum,,12,dinoflagellates,2817.64
10273,protoperidinium_oceanicum,,12,dinoflagellates,78762.2
bay0229,protoperidinium_orbiculare,,12,dinoflagellates,3470.6
10237,protoperidinium_ovatum,,12,dinoflagellates,1338.56
10233,protoperidinium_pallidum,,12,dinoflagellates,9213.12
bay0230,protoperidinium_paulseni,,12,dinoflagellates,4196.36
10235,protoperidinium_pellucidum,,12,dinoflagellates,3331.65
10299,protoperidinium_pendunculatum,,12,dinoflagellates,2876.1
10270,protoperidinium_pentagonum,,12,dinoflagellates,16810.07
10267,protoperidinium_punctulatum,,12,dinoflagellates,6918
10265,protoperidinium_pyriforme,,12,dinoflagellates,3540.7
10341,protoperidinium_quarnerense,,12,dinoflagellates,2482.6
10316,protoperidinium_roseum,,12,dinoflagellates,3172
bay0231,protoperidinium_solidicorne,,12,dinoflagellates,21340.5
10318,protoperidinium_sphaericum,,12,dinoflagellates,8234.5
10261,protoperidinium_steini,,12,dinoflagellates,1685.14
10320,protoperidinium_subcurvipes,,12,dinoflagellates,3524.9
10259,protoperidinium_subinerme,,12,dinoflagellates,7348.4
10239,protoperidinium_thorianum,,12,dinoflagellates,12538.6
bay0232,protoperidinium_wisconsisense,,12,dinoflagellates,3814.6
bay0233,psammodiscus_nitidus,,7,diatom,869.08
584566,pseudo-nitzschia_pungens,,7,diatom,204.38
615879,pseudo-nitzschia_seriata,,7,diatom,223.67
bay0380,pseudo-nitzschia_subpacifica,,7,diatom,102.9
1789,pseudopedinella_pyriformis,,4,chrysophyta,18.79
2009,pseudotetraedron_neglectum,,5,xanthophyta,53.69
bay0310,psuedosolenia_calcar-avis,,7,diatom,2774.6
9535,pyramimonas,,10,prasinophyta,69.26
9536,pyramimonas_amylifera,,10,prasinophyta,70.38
9538,pyramimonas_grossii,,10,prasinophyta,13.85
9539,pyramimonas_micron,,10,prasinophyta,11.42
9540,pyramimonas_obovata,,10,prasinophyta,27.66
9541,pyramimonas_plurioculata,,10,prasinophyta,18.79
9543,pyramimonas_tetrahynchus,,10,prasinophyta,278.6
9542,pyramimonas_torta,,10,prasinophyta,37.28
10551,pyrocystis,,12,dinoflagellates,51724.55
10553,pyrocystis_fusiformis,,12,dinoflagellates,77356.18
573560,pyrocystis_fusiformis_biconica,,12,dinoflagellates,24235.7
10554,pyrocystis_hamulus,,12,dinoflagellates,6633.9
10552,pyrocystis_lunula,,12,dinoflagellates,23815.39
10557,pyrocystis_pseudonoctiluca,,12,dinoflagellates,4023478.8
10558,pyrocystis_robusta,,12,dinoflagellates,870338
10387,pyrodinium_bahamense,,12,dinoflagellates,1411.1
10161,pyrophacus,,12,dinoflagellates,67804.72
10162,pyrophacus_horologicum,,12,dinoflagellates,1091.79
9873,pyrrophycophyta,,12,dinoflagellates,519.45
9873,pyrrophycophyta,cyst,12,dinoflagellates,1086.52
9873,pyrrophycophyta,cyst_<25_microns,12,dinoflagellates,475.04
9873,pyrrophycophyta,cysts,12,dinoflagellates,1086.52
9873,pyrrophycophyta,unidentified,12,dinoflagellates,519.45
bay0403,quadricoccus_euryhalinicus,,8,chlorophyta,29
5938,quadrigula,,8,chlorophyta,86.89
5943,quadrigula_chodati,,8,chlorophyta,146.86
5939,quadrigula_closteroides,,8,chlorophyta,84.37
5941,quadrigula_lacustris,,8,chlorophyta,32.39
1290,raphidiopsis,,3,cyanobacteria,70.07
1291,raphidiopsis_cuvata,,3,cyanobacteria,70.07
bay0406,raphidophytes,,13,,224.98
805,rhabdoderma,,3,cyanobacteria,5.2
806,rhabdoderma_lineare,,3,cyanobacteria,5.7
809,rhabdoderma_sigmoidea_minor,,3,cyanobacteria,6.45
9808,rhabdomonas_spiralis,,11,euglenophycota,49
3208,rhabdonema,,7,diatom,859.8
3209,rhabdonema_arcuatum,,7,diatom,1250
3211,rhabdonema_minutum,,7,diatom,125.35
2262,rhabdosphaera,,6,haptophyta,224.98
2264,rhabdosphaera_claviger,,6,haptophyta,78.46
2265,rhabdosphaera_hispida,,6,haptophyta,100.51
2266,rhabdosphaera_longistylis,,6,haptophyta,9.9
2263,rhabdosphaera_stylifera,,6,haptophyta,78.46
3145,rhaphoneis,,7,diatom,224.27
3147,rhaphoneis_amphiceros,,7,diatom,86.77
bay0238,rhaphoneis_gemmifera,,7,diatom,337.45
1822,rhizochrysis_limnetica,,4,chrysophyta,2876.1
2879,rhizosolenia,,7,diatom,6115.86
2880,rhizosolenia_acuminata,,7,diatom,37117.8
2884,rhizosolenia_alata_indica,,7,diatom,12127.89
2887,rhizosolenia_bergonii,,7,diatom,3075.4
2889,rhizosolenia_castracanei,,7,diatom,98296
2915,rhizosolenia_eriensis,,7,diatom,326.28
bay0364,rhizosolenia_formosa,,7,diatom,45867.3
2893,rhizosolenia_hebetata,,7,diatom,13021
2895,rhizosolenia_hebetata_semispina,,7,diatom,556.19
2897,rhizosolenia_imbricata,,7,diatom,4125.27
2898,rhizosolenia_imbricata_shrubsolei,,7,diatom,617.71
2918,rhizosolenia_minima,,7,diatom,42.7
bay0241,rhizosolenia_rhombus,,7,diatom,28114
2901,rhizosolenia_robusta,,7,diatom,19618.87
2902,rhizosolenia_setigera,,7,diatom,1398.47
2910,rhizosolenia_shrubsoleii,,7,diatom,2361.9
2903,rhizosolenia_stolterfothii,,7,diatom,1205.84
2904,rhizosolenia_styliformis,,7,diatom,16421.79
2905,rhizosolenia_styliformis_longispina,,7,diatom,4663.33
bay0242,rhizosolenia_temperei,,7,diatom,2242.8
10665,rhodomonas_minuta,,14,cryptomonads,84.46396
bay0243,rhoicosphenia_abbreviata,,7,diatom,77.65
5024,rhopalodia,,7,diatom,2130.9
5041,rhopalodia_gibba,,7,diatom,1469.33
5025,rhopalodia_gibberula,,7,diatom,129.6
bay0244,rhopalodia_operculata,,7,diatom,50.01
1249,richelia_intracellularis,,3,cyanobacteria,33.92
6104,scenedesmus,,8,chlorophyta,41.29
6133,scenedesmus_abundans,,8,chlorophyta,9.82
6105,scenedesmus_acuminatus,,8,chlorophyta,17.34
6203,scenedesmus_anomalus,,8,chlorophyta,11.42
6139,scenedesmus_arcuatus,,8,chlorophyta,19.47
6141,scenedesmus_arcuatus_platydisca,,8,chlorophyta,3.37
6120,scenedesmus_armatus,,8,chlorophyta,49.54
6161,scenedesmus_bernardii,,8,chlorophyta,23.88
6127,scenedesmus_bijuga,,8,chlorophyta,23.88
6128,scenedesmus_bijuga_alternans,,8,chlorophyta,37.93
6165,scenedesmus_brasiliensis,,8,chlorophyta,27.89
6145,scenedesmus_denticulatus,,8,chlorophyta,45.94
6148,scenedesmus_denticulatus_recurvatus,,8,chlorophyta,58.45
6143,scenedesmus_dimorphus,,8,chlorophyta,29.25
6174,scenedesmus_ecornis,,8,chlorophyta,2.65
6180,scenedesmus_hystrix,,8,chlorophyta,7.16
6181,scenedesmus_incrassatulus,,8,chlorophyta,69.28
bay0246,scenedesmus_irregularis,,8,chlorophyta,26.88
6160,scenedesmus_obliquus,,8,chlorophyta,35.57
6194,scenedesmus_opoliensis,,8,chlorophyta,52.51
6207,scenedesmus_parisiensis,,8,chlorophyta,45.94
6198,scenedesmus_perforatus,,8,chlorophyta,20.4
6110,scenedesmus_quadricauda,,8,chlorophyta,11.78
6115,scenedesmus_quadricauda_maximus,,8,chlorophyta,230.62
9200,schizochlamys_compacta,,8,chlorophyta,43.94
1032,schizothrix,,3,cyanobacteria,9.56
1033,schizothrix_arenaria,,3,cyanobacteria,11.62
1034,schizothrix_calcicola,,3,cyanobacteria,2.17
1035,schizothrix_tenerrima,,3,cyanobacteria,14.1
2392,schroederella_delicatula,,7,diatom,1899.14
5656,schroederia,,8,chlorophyta,867.59
5657,schroederia_setigera,,8,chlorophyta,62.36
4545,scoliotropis_latestriata,,7,diatom,2670.1
bay0248,scrippsiella_favionese,cyst,12,dinoflagellates,958.13
bay0402,scrippsiella_precaria,,64,dinoflagellates,314.93
10537,scrippsiella_trochoidea,,12,dinoflagellates,355.27
bay0249,scyphosphaera_apsteinii,,34,protozoa,335.8
6249,selenastrum,,8,chlorophyta,44.68
6255,selenastrum_gracile,,8,chlorophyta,45
6256,selenastrum_minutum,,8,chlorophyta,54.21
6258,selenastrum_westii,,8,chlorophyta,10.6
43789,silicoflagellida,,34,protozoa,78.46
2401,skeletonema,,7,diatom,38.3
2402,skeletonema_costatum,,7,diatom,48.99
2414,skeletonema_potamos,,7,diatom,27.22
6088,sorastrum,,8,chlorophyta,75.91
9169,sphaerocystis,,8,chlorophyta,78.46
6996,spirogyra,,8,chlorophyta,31280.5
7010,spirogyra_crassa,,8,chlorophyta,230847.36
7023,spirogyra_tenuissima,,8,chlorophyta,1043.32
1053,spirulina,,3,cyanobacteria,5.16
1063,spirulina_laxa,,3,cyanobacteria,4.62
1054,spirulina_major,,3,cyanobacteria,1.3
1055,spirulina_subsalsa,,3,cyanobacteria,5.16
8472,spondylosium_planum,,8,chlorophyta,169.1
8474,spondylosium_pygmaeum,,8,chlorophyta,18.7
7440,staurastrum,,8,chlorophyta,521.79
7597,staurastrum_americanum,,8,chlorophyta,155.85
7442,staurastrum_chaetoceros,,8,chlorophyta,42.14
bay0365,staurastrum_cingulum_floridense,,8,chlorophyta,4728.59
7769,staurastrum_curvatum,,8,chlorophyta,190.46
7796,staurastrum_grande,,8,chlorophyta,358.2
7507,staurastrum_leptocladum,,8,chlorophyta,16751.6
7510,staurastrum_leptocladum_cornutum,,8,chlorophyta,922.04
7509,staurastrum_leptocladum_insigne,,8,chlorophyta,897.79
7522,staurastrum_manfeldtii_fluminense,,8,chlorophyta,228.79
7549,staurastrum_paradoxum,,8,chlorophyta,345.75
bay0254,staurastrum_paradoxum_cingulum,,8,chlorophyta,372.4
7557,staurastrum_pentacerum,,8,chlorophyta,1640.01
7568,staurastrum_quadricuspinatum,,8,chlorophyta,223.43
4127,stauroneis,,7,diatom,154.8
4136,stauroneis_amphioxys,,7,diatom,171.93
4149,stauroneis_anceps_hyalina,,7,diatom,326
bay0255,stauroneis_oblique,,7,diatom,185.53
4272,stauroneis_salina,,7,diatom,137.05
610108,stellarima_microtrias,,7,diatom,352
1088,stenopterobia_anceps,,3,cyanobacteria,5.16
2415,stephanodiscus,,7,diatom,404.17
2426,stephanodiscus_hantzschii,,7,diatom,51.22
2436,stephanodiscus_subsalsus,,7,diatom,27.22
2371,stephanopyxis,,7,diatom,1113.93
2372,stephanopyxis_nipponica,,7,diatom,594.4
2373,stephanopyxis_palmeriana,,7,diatom,1943.02
2374,stephanopyxis_turris,,7,diatom,1331.7
6671,stigeoclonium_glomerata,,8,chlorophyta,165.9587
3178,striatella,,7,diatom,527.85
3181,striatella_interrupta,,7,diatom,88.6
3180,striatella_unipunctata,,7,diatom,970.15
bay0366,strombomonas_australica,,11,euglenophycota,183.3
5331,surirella,,7,diatom,387.58
5339,surirella_anceps,,7,diatom,432.97
bay0381,surirella_cruciata,,7,diatom,580
bay0258,surirella_crumera,,7,diatom,532.37
5332,surirella_fastuosa,,7,diatom,803.32
5342,surirella_gemma,,7,diatom,2184
5348,surirella_ovalis,,7,diatom,472.18
202440,surirella_ovata_crumera,,7,diatom,532.37
bay0259,surirella_pandura_contracta,,7,diatom,160
5374,surirella_patella,,7,diatom,2106
5376,surirella_patella_neupaueri,,7,diatom,80.53
5334,surirella_recedens,,7,diatom,532.37
5357,surirella_robusta,,7,diatom,247.63
5338,surirella_spendida,,7,diatom,1195.927
5398,surirella_spiralis,,7,diatom,159.3
5364,surirella_striatula,,7,diatom,19576
773,synechococcus,,3,cyanobacteria,0.57
3013,synedra,,7,diatom,501.58
3056,synedra_acus,,7,diatom,409.72
bay0265,synedra_closterioides,,7,diatom,238.18
3022,synedra_crystallina,,7,diatom,965.09
3018,synedra_fasciculata,,7,diatom,193.69
3015,synedra_fulgens,,7,diatom,361.67
3110,synedra_gaillonii,,7,diatom,333.8
590930,synedra_longissima,,7,diatom,351.79
3044,synedra_provincialis,,7,diatom,344.93
202434,synedra_robusta,,7,diatom,1321.89
573678,synedra_superba,,7,diatom,168
3108,synedra_toxoneides,,7,diatom,158.5
3023,synedra_ulna,,7,diatom,513.67
3036,synedra_ulna_longissima,,7,diatom,564.67
3021,synedra_undulata,,7,diatom,636.06
bay0267,synedrosphenia_gomphonema,,7,diatom,1470.39
1655,synura,,4,chrysophyta,4.3
1657,synura_adamsii,,4,chrysophyta,325.1
1656,synura_uvella,,4,chrysophyta,4.3
2234,syracosphaera,,6,haptophyta,126
2244,syracosphaera_coralla,,6,haptophyta,112.8
bay0268,syracosphaera_histrica,,6,haptophyta,192
2238,syracosphaera_mediterranea,,6,haptophyta,206
2239,syracosphaera_molischii,,6,haptophyta,20.8
bay0269,syracosphaera_pirus,,6,haptophyta,315.2
bay0270,syracosphaera_prolongata,,6,haptophyta,164
2235,syracosphaera_pulchra,,6,haptophyta,892.99
3241,tabellaria,,7,diatom,60.12
3242,tabellaria_fenestrata,,7,diatom,212.87
3244,tabellaria_fenestrata_asterionelloides,,7,diatom,102.9
3247,tabellaria_flocculosa,,7,diatom,174.2
590882,tabularia_fasciculate,,7,diatom,168
2737,terpsinoe,,7,diatom,901.34
3328,tetracyclus,,7,diatom,255.35
6244,tetradesmus,,8,chlorophyta,921.18
6245,tetradesmus_smithii,,8,chlorophyta,50.9
5661,tetraedron,,8,chlorophyta,541.7
5684,tetraedron_arthrodesmiforme,,8,chlorophyta,2820.85
5691,tetraedron_caudatum,,8,chlorophyta,21.91
5710,tetraedron_cruciatum,,8,chlorophyta,1744.83
5717,tetraedron_gracile,,8,chlorophyta,1129.72
5695,tetraedron_hastatum,,8,chlorophyta,201.8
5667,tetraedron_limneticum,,8,chlorophyta,3366.7
5674,tetraedron_lobulatum,,8,chlorophyta,237.1
5670,tetraedron_minimum,,8,chlorophyta,33.36
5700,tetraedron_muticum,,8,chlorophyta,126
5701,tetraedron_pentaedricum,,8,chlorophyta,444.8
5678,tetraedron_regulare,,8,chlorophyta,52.99
5682,tetraedron_regulare_incus,,8,chlorophyta,335.8
5683,tetraedron_regulare_torsum,,8,chlorophyta,1247.28
5662,tetraedron_trigonum,,8,chlorophyta,40.19
5664,tetraedron_trigonum_gracile,,8,chlorophyta,18.85
5665,tetraedron_trigonum_setigerum,,8,chlorophyta,57.27
9560,tetraselmis,,10,prasinophyta,153.96
9561,tetraselmis_gracilis,,10,prasinophyta,47.67
9562,tetraselmis_maculata,,10,prasinophyta,37.76
6260,tetrastrum,,8,chlorophyta,15.99
bay0273,tetrastrum_caudatum,,8,chlorophyta,31.06
6264,tetrastrum_glabrum,,8,chlorophyta,22.69
6261,tetrastrum_heteracanthum,,8,chlorophyta,3.74
6263,tetrastrum_staurogeniaeforme,,8,chlorophyta,3.31
3138,thalassionema,,7,diatom,163.85
3139,thalassionema_nitzschioides,,7,diatom,163.85
bay0274,thalassiophysa_hyalina,,7,diatom,41.72
2484,thalassiosira,,7,diatom,225.81
2484,thalassiosira,sp#1_diam_<20_microns,7,diatom,53.01
2484,thalassiosira,sp#2_diam_>20_microns,7,diatom,264.45
2485,thalassiosira_aestivalis,,7,diatom,480.81
550490,thalassiosira_anguste-lineata,,7,diatom,552.76
2504,thalassiosira_antarctica,,7,diatom,35.6
2486,thalassiosira_baltica,,7,diatom,1018.4
2487,thalassiosira_bioculata,,7,diatom,2238.3
2489,thalassiosira_decipiens,,7,diatom,171.17
2520,thalassiosira_delicatula,,7,diatom,251.82
2503,thalassiosira_eccentrica,,7,diatom,328.88
2490,thalassiosira_gravida,,7,diatom,316.5
2496,thalassiosira_hyalina,,7,diatom,159.3
2524,thalassiosira_leptopus,,7,diatom,1438.2
2502,thalassiosira_nana,,7,diatom,21.49
2492,thalassiosira_nordenskioeldii,,7,diatom,185.19
2507,thalassiosira_oestrupii_venrickae,,7,diatom,328.88
2509,thalassiosira_pseudonana,,7,diatom,16.86
2494,thalassiosira_rotula,,7,diatom,204.22
2495,thalassiosira_subtilis,,7,diatom,140.47
3131,thalassiothrix,,7,diatom,1964.88
3132,thalassiothrix_delicatula,,7,diatom,3412.05
3133,thalassiothrix_frauenfeldii,,7,diatom,347.71
3134,thalassiothrix_longissima,,7,diatom,2298.6
3135,thalassiothrix_mediterranea,,7,diatom,1866.79
9690,trachelomonas,,11,euglenophycota,270.25
9718,trachelomonas_acanthostoma,,11,euglenophycota,445.01
bay0368,trachelomonas_armata_longa,,11,euglenophycota,4735.919
9734,trachelomonas_bulla,,11,euglenophycota,1591
9731,trachelomonas_charkowensis,,11,euglenophycota,396.86
bay0369,trachelomonas_globularis_boyeri,,11,euglenophycota,637.9158
9692,trachelomonas_hispida,,11,euglenophycota,271.35
9695,trachelomonas_hispida_coronata,,11,euglenophycota,1740.815
9700,trachelomonas_intermedia,,11,euglenophycota,217.82
bay0370,trachelomonas_planctonica_oblonga,,11,euglenophycota,569.2752
bay0371,trachelomonas_raciborskii,,11,euglenophycota,2468.517
bay0372,trachelomonas_regulosa,,11,euglenophycota,0
bay0373,trachelomonas_scabra_longicollis,,11,euglenophycota,845.68
180813,trachelomonas_similis,,11,euglenophycota,1143.409
9721,trachelomonas_superba,,11,euglenophycota,1986.377
bay0374,trachelomonas_superba_duplex,,11,euglenophycota,2518.743
9724,trachelomonas_varians,,11,euglenophycota,1119.128
180815,trachelomonas_verrucosa,,11,euglenophycota,189.3124
